ID,Fecha de publicación,Título de la clase,Descripción,Autor citado
1,1/3/2020,Clase 1: La informática como tecnología social,"Relación entre objetos tecnológicos y las formas en que convivimos con ellos. Aportes de Bruno Latour para realizar análisis sociotécnicos que consideren la influencia de la tecnología, para poder explicar el comportamiento a través de los vínculos que establecen los humanos con los artefactos y de las redes que se conforman con otros humanos y artefactos. ",Latour
1,1/3/2020,Clase 1: La informática como tecnología social,"Relación entre objetos tecnológicos y las formas en que convivimos con ellos. Aportes de Bruno Latour para realizar análisis sociotécnicos que consideren la influencia de la tecnología, para poder explicar el comportamiento a través de los vínculos que establecen los humanos con los artefactos y de las redes que se conforman con otros humanos y artefactos. ",Sandrone
2,1/8/2022,Clase 1: Las trayectorias escolares como problema. Abordaje conceptual,"La perspectiva de las trayectorias escolares es presentada en su surgimiento histórico, en sus potencialidades para el análisis de las condiciones de escolarización, y también en los malentendidos a que puede dar lugar, en especial cuando se utiliza el término “trayectorias” para nombrar de otro modo lo que en el campo educativo se nombra como “dificultad de aprendizaje”.",Baquero
2,1/8/2022,Clase 1: Las trayectorias escolares como problema. Abordaje conceptual,"La perspectiva de las trayectorias escolares es presentada en su surgimiento histórico, en sus potencialidades para el análisis de las condiciones de escolarización, y también en los malentendidos a que puede dar lugar, en especial cuando se utiliza el término “trayectorias” para nombrar de otro modo lo que en el campo educativo se nombra como “dificultad de aprendizaje”.",Briscioli
2,1/8/2022,Clase 1: Las trayectorias escolares como problema. Abordaje conceptual,"La perspectiva de las trayectorias escolares es presentada en su surgimiento histórico, en sus potencialidades para el análisis de las condiciones de escolarización, y también en los malentendidos a que puede dar lugar, en especial cuando se utiliza el término “trayectorias” para nombrar de otro modo lo que en el campo educativo se nombra como “dificultad de aprendizaje”.",Carrizales Retamoza
2,1/8/2022,Clase 1: Las trayectorias escolares como problema. Abordaje conceptual,"La perspectiva de las trayectorias escolares es presentada en su surgimiento histórico, en sus potencialidades para el análisis de las condiciones de escolarización, y también en los malentendidos a que puede dar lugar, en especial cuando se utiliza el término “trayectorias” para nombrar de otro modo lo que en el campo educativo se nombra como “dificultad de aprendizaje”.",Donini
2,1/8/2022,Clase 1: Las trayectorias escolares como problema. Abordaje conceptual,"La perspectiva de las trayectorias escolares es presentada en su surgimiento histórico, en sus potencialidades para el análisis de las condiciones de escolarización, y también en los malentendidos a que puede dar lugar, en especial cuando se utiliza el término “trayectorias” para nombrar de otro modo lo que en el campo educativo se nombra como “dificultad de aprendizaje”.",Gorostiaga
2,1/8/2022,Clase 1: Las trayectorias escolares como problema. Abordaje conceptual,"La perspectiva de las trayectorias escolares es presentada en su surgimiento histórico, en sus potencialidades para el análisis de las condiciones de escolarización, y también en los malentendidos a que puede dar lugar, en especial cuando se utiliza el término “trayectorias” para nombrar de otro modo lo que en el campo educativo se nombra como “dificultad de aprendizaje”.",Pini
2,1/8/2022,Clase 1: Las trayectorias escolares como problema. Abordaje conceptual,"La perspectiva de las trayectorias escolares es presentada en su surgimiento histórico, en sus potencialidades para el análisis de las condiciones de escolarización, y también en los malentendidos a que puede dar lugar, en especial cuando se utiliza el término “trayectorias” para nombrar de otro modo lo que en el campo educativo se nombra como “dificultad de aprendizaje”.",Frassa
2,1/8/2022,Clase 1: Las trayectorias escolares como problema. Abordaje conceptual,"La perspectiva de las trayectorias escolares es presentada en su surgimiento histórico, en sus potencialidades para el análisis de las condiciones de escolarización, y también en los malentendidos a que puede dar lugar, en especial cuando se utiliza el término “trayectorias” para nombrar de otro modo lo que en el campo educativo se nombra como “dificultad de aprendizaje”.",Muñiz Terra
